epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,22827.8,0.24874,0.14381,0.81896,0.98046,0.99345,0.99116,0.96404,0.29564,0.17136,0.83036,6.0604e-05,6.0604e-05,6.0604e-05
92,23077.6,0.23853,0.13791,0.81736,0.98303,0.99406,0.99146,0.96621,0.28975,0.1683,0.83299,5.50996e-05,5.50996e-05,5.50996e-05
93,23327.5,0.2315,0.13585,0.81467,0.98246,0.99273,0.99194,0.96607,0.28629,0.16599,0.83187,4.95952e-05,4.95952e-05,4.95952e-05
94,23576.5,0.22678,0.13143,0.81543,0.98472,0.99287,0.99219,0.96605,0.28462,0.164,0.82926,4.40908e-05,4.40908e-05,4.40908e-05
95,23826,0.22345,0.13158,0.81131,0.98382,0.99461,0.992,0.96593,0.28697,0.15855,0.83336,3.85864e-05,3.85864e-05,3.85864e-05
96,24075.9,0.21786,0.13113,0.81011,0.98298,0.99455,0.99152,0.96782,0.27867,0.15761,0.82808,3.3082e-05,3.3082e-05,3.3082e-05
97,24326.4,0.21762,0.12799,0.81106,0.9838,0.99466,0.99162,0.9681,0.27548,0.155,0.82275,2.75776e-05,2.75776e-05,2.75776e-05
98,24576.7,0.21143,0.12714,0.80608,0.98323,0.99453,0.99221,0.97071,0.26954,0.15159,0.81958,2.20732e-05,2.20732e-05,2.20732e-05
99,24828.2,0.20952,0.12333,0.80879,0.98277,0.99448,0.99222,0.97063,0.26741,0.15122,0.81814,1.65688e-05,1.65688e-05,1.65688e-05
100,25079.2,0.2062,0.12222,0.80386,0.98431,0.9944,0.99241,0.9711,0.26644,0.14894,0.81762,1.10644e-05,1.10644e-05,1.10644e-05
